topic_cluster,topic_count,topic_ids,core_topics_count,supporting_topics_count,secondary_topics_count,sum_global_score,avg_global_score,sum_topic_observations,avg_topic_observations,top_candidate_narratives,top_subclusters,representative_phrases
Cluster A - Gender / eligibility / identity,10,t975131 | t628516 | t178651 | t977325 | t448823 | t721761 | t811565 | t675127 | t752938 | t633637,9,1,0,10.764095,1.07641,639,63.9,gender controversy (10),A2 - Eligibility / sex classification (5) | A1 - Transgender / identity (4) | A3 - Athlete-specific case (1),"a female (1) | gender (1) | both genders (1) | ""gender (1) | genders (1) | each gender (1) | their gender (1) | the gender (1) | not gender (1) | Gender (1) | gender eligibility criteria (1) | her gender eligibility (1) | the gender eligibility criteria (1) | its gender eligibility criteria (1) | the necessary gender eligibility criteria (1)"
Cluster C - Secondary controversial themes,3,t120965 | t635039 | t158509,0,0,3,3.916667,1.305556,77,25.67,political/geopolitical (1) | anti-LGBTQ framing (1) | doping/cheating (1),C1 - Security / terrorism / geopolitics (1) | C2 - Anti-LGBTQ framing (1) | C3 - Doping / drugs (1),"terrorism (1) | Islamist terrorism (1) | Terrorism (1) | Terrorists (1) | TERRORISTS (1) | state terrorism (1) | terrorist propaganda (1) | jihadism (1) | terrorism and mass murders (1) | terrorist conspiracy (1) | queers (1) | ""queer (1) | queer (1) | The queer (1) | gay (1)"
Cluster B - Opening ceremony / Christianity,2,t636401 | t427723,2,0,0,11.241134,5.620567,1362,681.0,opening ceremony / christianity controversy (2),B0 - Mockery / offense discourse (1) | B1 - Religious iconography (1),"a ""mockery (1) | mockery (1) | the mockery (1) | the ""mockery (1) | a mockery (1) | Mockery (1) | this mockery (1) | No mockery (1) | 'MOCKERY (1) | a direct mockery (1) | religious iconography (1) | a religious symbol (1) | religious symbols (1) | outwardly religious symbols (1) | religious imagery (1)"
